               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.014888,           0.0087362,          0.00054099,             0.81864,              0.8583,             0.86909,             0.64481,            0.027489,           0.0097921,           0.0067304,            0.001387,            0.001387,            0.001387
                  89,            0.015004,           0.0088292,          0.00048973,             0.86776,             0.83258,             0.87305,             0.64854,             0.02752,           0.0097559,           0.0064393,            0.001288,            0.001288,            0.001288
                  90,            0.014838,           0.0088845,           0.0005247,             0.83298,             0.85364,             0.87088,             0.64538,            0.027744,           0.0098496,           0.0062855,            0.001189,            0.001189,            0.001189
                  91,            0.014735,           0.0087796,          0.00044639,             0.84687,              0.8491,             0.86962,             0.64485,            0.027582,           0.0098402,           0.0063101,             0.00109,             0.00109,             0.00109
                  92,            0.014663,           0.0085978,          0.00046136,             0.83929,             0.86733,             0.87437,              0.6494,            0.027702,           0.0097822,           0.0062668,            0.000991,            0.000991,            0.000991
                  93,            0.014589,           0.0085779,          0.00045966,             0.82462,             0.88179,             0.87566,              0.6525,            0.027501,           0.0098411,           0.0064934,            0.000892,            0.000892,            0.000892
                  94,            0.014635,           0.0086161,          0.00047815,             0.81154,             0.88898,             0.87438,             0.65155,            0.027439,           0.0098008,           0.0068937,            0.000793,            0.000793,            0.000793
                  95,            0.014616,           0.0087664,          0.00039736,             0.84492,             0.88682,              0.8841,             0.65743,            0.027547,           0.0098332,           0.0057451,            0.000694,            0.000694,            0.000694
                  96,            0.014472,           0.0086209,          0.00043687,             0.83627,             0.86243,             0.86684,             0.64463,            0.027691,           0.0099289,           0.0068932,            0.000595,            0.000595,            0.000595
                  97,            0.014508,           0.0086256,          0.00041225,              0.8549,               0.868,             0.87445,             0.65045,            0.027739,           0.0099255,           0.0061763,            0.000496,            0.000496,            0.000496
                  98,            0.014413,           0.0085485,          0.00039346,             0.83507,              0.8805,             0.87197,             0.64786,            0.027518,           0.0098529,           0.0062114,            0.000397,            0.000397,            0.000397
                  99,            0.014393,           0.0085693,          0.00038553,             0.84083,             0.87757,             0.87008,             0.64651,            0.027651,           0.0098526,           0.0063621,            0.000298,            0.000298,            0.000298
