               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.016655,            0.048743,            0.001256,             0.83984,             0.88346,             0.89473,               0.675,            0.025454,            0.051482,           0.0060618,            0.004357,            0.004357,            0.004357
                  59,            0.016673,            0.048552,           0.0012483,             0.84499,             0.89239,             0.89658,             0.68554,             0.02569,            0.051694,           0.0055837,            0.004258,            0.004258,            0.004258
                  60,            0.016676,            0.048786,           0.0013034,             0.83312,             0.85954,               0.883,             0.66909,            0.025369,            0.051377,           0.0067702,            0.004159,            0.004159,            0.004159
                  61,            0.016452,            0.049285,           0.0012851,             0.84485,             0.87633,             0.88528,             0.67457,            0.025954,            0.052707,            0.006823,             0.00406,             0.00406,             0.00406
                  62,            0.016329,              0.0492,           0.0014163,              0.8739,             0.82415,             0.87721,             0.66689,            0.025713,            0.052297,           0.0062408,            0.003961,            0.003961,            0.003961
                  63,            0.016232,            0.046995,           0.0011379,              0.8942,             0.86974,             0.89215,             0.67884,            0.025803,            0.051712,           0.0057009,            0.003862,            0.003862,            0.003862
                  64,            0.016192,            0.048149,           0.0012617,             0.83241,             0.85793,             0.87553,             0.66677,            0.025664,            0.052348,           0.0072201,            0.003763,            0.003763,            0.003763
                  65,            0.015962,            0.046912,           0.0013347,             0.86484,             0.86523,             0.89568,             0.68788,            0.025797,            0.052772,           0.0065774,            0.003664,            0.003664,            0.003664
                  66,             0.01603,            0.046519,           0.0010298,             0.85217,             0.86439,             0.88673,             0.67683,            0.025951,            0.053425,            0.006781,            0.003565,            0.003565,            0.003565
                  67,            0.015886,             0.04708,           0.0011191,             0.85079,             0.83782,             0.87664,             0.66588,            0.025971,            0.053454,            0.007825,            0.003466,            0.003466,            0.003466
                  68,            0.015884,            0.046226,           0.0012295,             0.84966,             0.82433,              0.8644,              0.6534,             0.02601,             0.05338,            0.007127,            0.003367,            0.003367,            0.003367
                  69,            0.015624,            0.046133,           0.0010447,             0.84115,             0.83901,             0.87083,             0.66225,            0.025913,            0.054343,           0.0085324,            0.003268,            0.003268,            0.003268
                  70,            0.015643,            0.046612,          0.00099938,             0.81312,             0.87501,             0.85827,             0.65648,            0.025655,            0.052378,           0.0083977,            0.003169,            0.003169,            0.003169
                  71,            0.015346,            0.046105,          0.00095012,             0.88071,             0.84375,             0.88795,             0.68171,            0.025764,            0.054075,           0.0065222,             0.00307,             0.00307,             0.00307
                  72,            0.015295,            0.045891,          0.00087154,             0.82918,             0.83152,              0.8603,             0.65712,            0.025699,            0.053144,           0.0097229,            0.002971,            0.002971,            0.002971
                  73,            0.015351,            0.046757,           0.0010571,             0.87465,             0.82872,             0.88471,             0.68024,            0.025798,            0.052668,           0.0075036,            0.002872,            0.002872,            0.002872
                  74,            0.015423,            0.045458,          0.00085694,             0.83226,             0.87007,             0.88012,             0.67053,            0.025615,            0.053967,           0.0074655,            0.002773,            0.002773,            0.002773
